epoch,step,train_loss
0,15,34148868.0
1,31,34141052.0
2,47,34131384.0
3,63,34118392.0
4,79,34100548.0
5,95,34076552.0
6,111,34045020.0
7,127,34004648.0
8,143,33954260.0
9,159,33892592.0
10,175,33818220.0
11,191,33729772.0
12,207,33626100.0
13,223,33505712.0
14,239,33367482.0
15,255,33209942.0
16,271,33032010.0
17,287,32832788.0
18,303,32611402.0
19,319,32366480.0
20,335,32096522.0
21,351,31801526.0
22,367,31479628.0
23,383,31130920.0
24,399,30753754.0
25,415,30347450.0
26,431,29917802.0
27,447,29462622.0
28,463,28981058.0
29,479,28473698.0
30,495,27940990.0
31,511,27383448.0
32,527,26801760.0
33,543,26196694.0
34,559,25569448.0
35,575,24920478.0
36,591,24251332.0
37,607,23563278.0
38,623,22858584.0
39,639,22138464.0
40,655,21405040.0
41,671,20659514.0
42,687,19904160.0
43,703,19141030.0
44,719,18371562.0
45,735,17598084.0
46,751,16823270.0
47,767,16049054.0
48,783,15279202.0
49,799,14515076.0
50,815,13758786.0
51,831,13013832.0
52,847,12282015.0
53,863,11564275.0
54,879,10863545.0
55,895,10180901.0
56,911,9519173.0
57,927,8878053.0
58,943,8260572.0
59,959,7667373.0
60,975,7101010.5
61,991,6561473.5
62,1007,6049182.0
63,1023,5564760.0
64,1039,5109360.0
65,1055,4681964.5
66,1071,4282660.5
67,1087,3911081.75
68,1103,3566911.75
69,1119,3249134.25
70,1135,2956648.75
71,1151,2688465.5
72,1167,2444375.25
73,1183,2222896.25
74,1199,2022317.25
75,1215,1841295.5
76,1231,1678551.625
77,1247,1533366.375
78,1263,1403980.875
79,1279,1289147.125
80,1295,1187283.125
81,1311,1096726.875
82,1327,1017073.9375
83,1343,947089.75
84,1359,885826.625
85,1375,832845.5625
86,1391,786331.1875
87,1407,745832.375
88,1423,710664.8125
89,1439,680625.6875
90,1455,654967.9375
91,1471,633016.0
92,1487,614371.8125
93,1503,598197.25
94,1519,583771.5625
95,1535,571107.3125
96,1551,560285.25
97,1567,551145.25
98,1583,543089.8125
99,1599,536168.5625
