epoch,step,train_loss
0,16,34266864.0
1,33,34258872.0
2,50,34248128.0
3,67,34233208.0
4,84,34212568.0
5,101,34184556.0
6,118,34147512.0
7,135,34099912.0
8,152,34040224.0
9,169,33966652.0
10,186,33877540.0
11,203,33771088.0
12,220,33645884.0
13,237,33500302.0
14,254,33332796.0
15,271,33142202.0
16,288,32927242.0
17,305,32686566.0
18,322,32419128.0
19,339,32124278.0
20,356,31801308.0
21,373,31449278.0
22,390,31067600.0
23,407,30655462.0
24,424,30213232.0
25,441,29741364.0
26,458,29239736.0
27,475,28709224.0
28,492,28150008.0
29,509,27562110.0
30,526,26946370.0
31,543,26303888.0
32,560,25636386.0
33,577,24944936.0
34,594,24230154.0
35,611,23494378.0
36,628,22739600.0
37,645,21967418.0
38,662,21180226.0
39,679,20380948.0
40,696,19572728.0
41,713,18756950.0
42,730,17936888.0
43,747,17116078.0
44,764,16296281.0
45,781,15480252.0
46,798,14670392.0
47,815,13870433.0
48,832,13082673.0
49,849,12309572.0
50,866,11554208.0
51,883,10817660.0
52,900,10102775.0
53,917,9411234.0
54,934,8745656.0
55,951,8107327.0
56,968,7497819.5
57,985,6917685.5
58,1002,6367572.0
59,1019,5848467.5
60,1036,5360552.5
61,1053,4903791.5
62,1070,4477611.5
63,1087,4082020.0
64,1104,3716002.5
65,1121,3378440.25
66,1138,3067022.75
67,1155,2779895.75
68,1172,2517983.25
69,1189,2279816.75
70,1206,2064635.375
71,1223,1872301.375
72,1240,1699581.125
73,1257,1547705.0
74,1274,1413775.0
75,1291,1295530.375
76,1308,1192322.375
77,1325,1102405.125
78,1342,1023507.4375
79,1359,953986.75
80,1376,892036.625
81,1393,838250.75
82,1410,789902.625
83,1427,747339.9375
84,1444,710404.0625
85,1461,672990.5625
86,1478,641800.25
87,1495,616865.0
88,1512,595771.5
89,1529,578886.25
90,1546,565147.625
91,1563,553060.75
92,1580,543029.1875
93,1597,534635.0
94,1614,527254.25
95,1631,521293.1875
96,1648,516013.59375
97,1665,511616.5625
98,1682,507358.125
99,1699,503845.53125
